request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Regarding “I've been asked to transfer IDR 15,656,000 to my family.”: pay IDR 15656000 today. This leaves at least IDR 24768300 available over the next 90 days. Using confirmed invoice IDR 30780000 on 2025-08-15."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Regarding “Can I make this purchase without dipping into the balance I want to keep? I need to decide by 21 August 2026.”: pay ZAR 6670 today. This leaves at least ZAR 20500 available over the next 90 days. Using unconfirmed credits ignored.
request_28,326.74,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Regarding “I'm planning an investment contribution of EUR 1,302.40.”: pay EUR 1302.40 in full on 2024-08-15. Paying earlier would take the balance below the EUR 1100 minimum. Using confirmed pay EUR 1452."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Regarding “Would investing this amount leave my upcoming bills covered? I have an opportunity to invest ZAR 51,524.”: pay ZAR 51524 today. This leaves at least ZAR 28300 available over the next 90 days. Using seasonal/assignment pay still projected after this contract."
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Regarding “The additional loan payment would be USD 775.20.”: use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available."
request_31,2576757.22,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,Regarding “Would paying for the laptop today leave enough for my regular expenses? I need to decide by 15 November 2024.”: pay IDR 18164000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 16588900 minimum.
request_32,13188.14,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Regarding “I'm planning a family trip that costs ZAR 40,018.”: pay ZAR 40018 in full on 2025-04-15. Paying earlier would take the balance below the ZAR 35700 minimum. Using confirmed pay ZAR 54120 from 2025-02-15."
request_33,41545.80,affordable_later,wait,2026-02-15:118000,2026-02-15,none,"Regarding “Would paying the full deposit leave enough for my other commitments? The move requires a INR 118,000 deposit.”: pay INR 118000 in full on 2026-02-15. Paying earlier would take the balance below the INR 102100 minimum. Using internal transfers ignored."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Regarding “I can book the family trip for INR 129,400.”: pay INR 129400 today. This leaves at least INR 138500 available over the next 90 days. Using confirmed invoice INR 196000 on 2024-12-15."
request_35,22797.52,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Regarding “Would it be safer to book the trip now or wait until more money comes in? I need to decide by 15 January 2026.”: pay INR 212000 in full on 2026-01-15. Paying earlier would take the balance below the INR 106400 minimum. Using unconfirmed credits ignored.
request_36,576.46,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Regarding “I'm considering a professional course priced at USD 3,954.”: pay USD 3954 in full on 2026-09-15. Paying earlier would take the balance below the USD 2400 minimum. Using confirmed pay USD 2988 from 2026-07-15."
request_37,0,not_affordable,not_recommended,none,,none,"Regarding “Can I make the full transfer without falling short on my own bills? I'm planning to send my family IDR 14,649,000.”: do not make this payment by 2024-05-15. None of the available options keeps the IDR 17056200 minimum protected. Using confirmed pay IDR 21090000 from 2025-02-14."
request_38,173.08,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Regarding “The latest estimate for the repair is EUR 971.30.”: pay EUR 971.30 in full on 2025-10-15. Paying earlier would take the balance below the EUR 400 minimum. Using unconfirmed credits ignored.
request_39,64618.18,affordable_later,wait,2026-05-15:208600,2026-05-15,none,Regarding “Can I cover this deposit without putting rent and regular bills at risk? I need to decide by 15 June 2026.”: pay INR 208600 in full on 2026-05-15. Paying earlier would take the balance below the INR 213400 minimum.
request_40,355.74,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,"Regarding “The professional course costs EUR 1,290.30.”: pay EUR 1290.30 in full on 2024-08-15. Paying earlier would take the balance below the EUR 1500 minimum. Using confirmed pay EUR 1760 from 2024-06-15; unconfirmed credits ignored."
request_41,9916704.44,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,Regarding “The repair cannot wait.”: pay IDR 38760000 in full on 2025-12-15. Paying earlier would take the balance below the IDR 25366600 minimum.
request_42,0,not_affordable,not_recommended,none,,none,"Regarding “I need to cover an urgent repair of INR 52,100.”: do not make this payment by 2026-03-15. None of the available options keeps the INR 113100 minimum protected. Using no further salary projected."
request_43,8410067,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Regarding “Laptop yang saya incar harganya IDR 43.339.000.”: pay IDR 43339000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 21398000 minimum. Using confirmed pay IDR 32870000 from 2024-09-15.
request_44,30549.56,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Regarding “I need INR 95,800 for the course fee.”: pay INR 95800 in full on 2025-04-15. Paying earlier would take the balance below the INR 82900 minimum. Using confirmed pay INR 115000 from 2025-02-15; unconfirmed credits ignored."
request_45,3381127,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Regarding “How much of the laptop price can I safely cover today? The price of the laptop is IDR 21,983,000.”: pay IDR 21983000 in full on 2026-09-15. Paying earlier would take the balance below the IDR 11149800 minimum. Using confirmed pay IDR 17290000 from 2026-07-15."
